State Name,Temperature ⁰C,pH,Conductivity (μmhos/cm),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
DELHI,22.2,7.0,390.8,0.4,5.0,9.2,679.0,0.26999999999999996
DELHI,19.9,6.9,183.8,0.3,2.0,2.0,496.0,0.3
DELHI,22.2,7.0,390.8,0.3,2.9,4.5,383.0,0.26999999999999996
DELHI,24.2,7.2,392.1,0.86,2.0,2.0,375.0,0.47000000000000003
DELHI,21.6,6.9,265.1,0.57,2.0,2.0,441.0,1.3199999999999998
DELHI,23.4,7.2,621.7,0.5,5.0,9.2,536.0,0.32999999999999996
DELHI,19.9,6.9,183.8,0.3,2.0,2.0,358.0,0.3
DELHI,21.5,6.9,199.0,0.36,2.0,2.0,807.0,1.3199999999999998
DELHI,20.6,7.3,278.4,0.5,5.0,9.2,698.0,0.32999999999999996
DELHI,20.6,7.3,250.3,0.3,5.0,9.2,480.0,0.33
DELHI,22.9,7.0,306.5,0.69,2.0,2.0,768.0,1.39
DELHI,21.6,6.9,265.1,0.56,2.0,2.0,450.0,1.3199999999999998
DELHI,22.0,7.3,373.5,1.01,2.0,2.0,838.0,0.32999999999999996
DELHI,27.3,7.15,2437.0,1.15,2.0,2.0,1424.0,0.4
DELHI,22.3,7.1,371.9,0.3,5.0,9.2,1080.0,0.25999999999999995
DELHI,22.2,7.0,390.8,0.3,2.9,4.5,394.0,0.26999999999999996
DELHI,20.6,7.3,250.3,0.3,5.0,9.2,1115.0,0.33
DELHI,22.8,7.4,627.2,1.5,2.0,2.0,1110.0,4.65
DELHI,22.3,7.1,371.9,0.3,5.0,9.2,1970.0,0.25999999999999995
DELHI,26.7,7.7,673.3,0.34,2.0,2.0,312.0,0.53
DELHI,22.2,7.0,390.8,0.3,2.9,4.5,485.0,0.27
DELHI,25.4,7.5,638.5,0.57,2.0,2.0,2850.0,0.53
DELHI,25.119999999999997,7.0,1677.5,1.03,6.2,6.2,1144.2,0.31
DELHI,20.6,7.2,250.3,0.36,5.0,11.6,397.0,0.32999999999999996
DELHI,20.6,7.3,309.8,1.5,2.0,2.0,367.0,4.6
DELHI,22.4,7.4,333.9,0.3,5.0,9.2,500.0,0.49000000000000005
DELHI,24.6,6.3,266.0,0.68,2.0,2.0,337.0,0.37999999999999995
DELHI,22.0,7.3,373.5,0.99,2.0,2.0,1930.0,0.33
DELHI,22.6,7.4,389.0,0.53,2.9,4.5,896.0,0.34
DELHI,21.8,6.9,234.4,0.49,2.0,2.0,689.0,1.3199999999999998
DELHI,24.3,7.1,571.6,0.87,2.0,2.0,2870.0,1.01
DELHI,20.6,7.2,250.3,0.36,5.0,9.2,642.0,0.33
DELHI,22.2,7.0,390.8,0.3,2.9,4.5,540.0,0.26999999999999996
DELHI,22.7,7.1,478.6,0.98,2.0,2.0,361.0,0.35
DELHI,26.7,7.7,673.3,0.41,2.0,2.0,311.0,0.53
DELHI,20.6,7.2,250.3,0.3,5.0,9.2,409.0,0.33
DELHI,20.7,6.8,265.1,0.3,2.0,2.0,730.0,0.26
GOA,29.0,7.1,118.0,0.5,2.0,2.0,77.0,0.2
GOA,28.0,7.9,101.0,0.5,2.0,2.0,64.0,0.2
GOA,29.0,5.0,91.0,0.3,2.0,2.0,54.0,0.2
GOA,28.0,5.6,122.0,0.3,2.0,2.0,77.0,0.2
GOA,28.0,6.9,314.0,0.3,2.0,5.0,163.0,0.4
GOA,29.0,7.1,258.0,0.3,2.0,2.0,144.0,0.4
GOA,30.0,6.3,378.0,2.5,2.0,2.0,234.0,0.2
GUJARAT,27.0,7.7,2679.0,0.39,2.0,2.0,1378.0,0.45
GUJARAT,30.5,8.15,3212.5,0.3,2.0,2.0,1956.0,0.5
GUJARAT,28.0,8.05,1190.5,0.3,2.0,2.0,758.0,0.5
GUJARAT,29.5,8.4,1218.5,1.03,2.0,2.0,785.0,0.65
GUJARAT,28.0,7.2,1206.0,1.1,6.2,6.2,1032.0,0.2
GUJARAT,31.5,7.8,2813.0,0.3,2.0,2.0,1825.0,0.9
GUJARAT,29.0,8.2,2324.0,1.5,2.0,2.0,1390.0,1.0
GUJARAT,28.0,7.95,917.0,0.32,2.0,2.0,595.0,0.9
GUJARAT,32.0,8.15,2368.0,0.35,2.0,2.0,1441.0,0.4
GUJARAT,30.0,8.45,1330.5,0.55,2.0,2.0,809.0,0.3
GUJARAT,27.5,7.5,2980.0,0.6,2.0,2.0,1696.0,0.95
GUJARAT,30.5,7.7,8235.5,0.45,2.0,2.0,5015.0,0.6
GUJARAT,29.0,7.1,2164.0,0.5,2.0,2.0,1276.0,0.7
GUJARAT,31.5,7.9,5532.5,0.45,2.0,2.0,3191.0,0.75
GUJARAT,32.0,7.7,5751.5,0.3,2.0,2.0,3241.0,0.45
GUJARAT,30.0,7.35,1451.5,1.29,2.0,2.0,1210.0,0.25
GUJARAT,29.5,7.8,3819.5,0.5,2.0,2.0,2325.0,0.5
GUJARAT,29.5,8.15,1991.0,0.35,2.0,2.0,1212.0,0.35
GUJARAT,26.0,7.8,2172.0,0.55,2.0,2.0,1097.0,0.4
GUJARAT,29.0,7.95,2091.5,0.3,2.0,2.0,1229.0,0.75
GUJARAT,28.5,7.95,2286.0,0.32,2.0,2.0,1108.0,0.75
GUJARAT,28.5,7.85,2208.0,0.34,2.0,2.0,1259.0,0.65
,25.998928571428568,7.274838411819021,1407.0221579961465,2.404896480331263,68.59203980099502,107.90382244143034,922.0459710743802,0.4956299659477866
GUJARAT,27.0,7.7,3648.0,0.75,2.0,2.0,2142.0,1.35
GUJARAT,28.5,7.25,3368.0,0.3,2.0,2.0,2061.0,0.4
GUJARAT,28.5,7.8,2781.5,0.34,2.0,2.0,1444.0,0.8
GUJARAT,28.5,8.05,2412.0,0.6,2.0,2.0,1272.0,0.9
GUJARAT,29.5,8.05,10218.0,1.21,2.0,2.0,7100.0,1.5
GUJARAT,27.0,7.4,1526.0,1.3,26.7,132.0,1088.0,0.3
GUJARAT,28.5,7.6,905.5,0.35,2.0,2.0,496.0,0.2
GUJARAT,29.0,7.7,2091.0,0.3,2.0,2.0,1140.0,0.8
GUJARAT,29.5,7.9,5119.5,0.3,2.0,2.0,3325.0,0.9
GUJARAT,26.0,7.45,3362.0,0.32,2.0,2.0,1873.0,0.25
GUJARAT,32.0,8.1,2122.5,0.4,2.0,2.0,1292.0,0.45
GUJARAT,29.0,7.75,1962.0,0.4,2.0,2.0,1125.0,0.6
GUJARAT,29.5,7.5,3174.5,1.34,2.0,2.0,2429.0,0.5
GUJARAT,28.0,7.4,5225.0,0.3,2.0,2.0,3008.0,0.8
GUJARAT,29.5,8.0,3130.5,0.44,2.0,2.0,2081.0,0.85
GUJARAT,31.0,7.55,2727.5,1.16,2.0,2.0,1608.0,0.85
GUJARAT,31.0,8.2,2530.0,0.3,2.0,2.0,1538.0,0.6
GUJARAT,31.0,7.7,3913.5,0.5,2.0,2.0,2172.0,0.65
GUJARAT,28.5,7.75,1972.5,1.1,2.0,2.0,1156.0,0.8
GUJARAT,26.0,7.8,3278.5,0.3,2.0,2.0,1416.0,0.2
GUJARAT,25.5,7.05,6352.5,0.3,2.0,2.0,3534.0,0.2
GUJARAT,26.0,7.7,2520.5,0.32,2.0,2.0,1400.0,0.2
GUJARAT,29.0,7.55,736.0,0.3,2.0,2.0,469.0,0.3
GUJARAT,27.5,7.95,2508.0,0.56,2.0,2.0,1264.0,0.55
GUJARAT,28.5,7.75,974.0,0.88,2.0,2.0,493.0,0.95
GUJARAT,28.0,8.0,1802.0,0.45,2.0,2.0,1159.0,1.2
GUJARAT,28.0,8.2,2749.5,0.45,2.0,2.0,1466.0,1.35
GUJARAT,30.0,7.55,3060.0,0.3,2.0,2.0,2365.0,0.65
GUJARAT,28.0,8.2,1275.5,0.55,2.0,2.0,680.0,1.15
GUJARAT,28.0,8.1,1205.0,0.92,2.0,2.0,765.0,0.85
GUJARAT,25.5,7.8,1039.5,0.61,2.0,2.0,585.0,0.5
GUJARAT,26.0,7.1,1620.5,0.3,2.0,2.0,803.0,0.25
GUJARAT,28.5,7.35,1021.5,1.14,2.0,2.0,754.0,0.2
GUJARAT,29.0,7.8,3267.0,0.56,2.0,2.0,1533.0,0.6
GUJARAT,31.0,8.0,1637.5,1.28,2.0,2.0,1272.0,1.05
GUJARAT,31.0,7.4,1319.0,1.5,2.0,2.0,929.0,0.85
GUJARAT,28.0,7.3,786.0,1.1,2.0,2.0,620.0,0.2
GUJARAT,27.5,7.85,1693.5,1.35,2.0,2.0,934.0,0.95
GUJARAT,28.0,7.6,3079.0,1.2,17.4,143.2,2501.0,0.2
GUJARAT,26.0,7.45,619.0,0.35,2.0,2.0,345.0,0.25
GUJARAT,30.0,8.0,1303.5,0.4,2.0,2.0,758.0,0.6
GUJARAT,30.5,7.85,2847.5,0.6,2.0,2.0,1735.0,0.6
GUJARAT,29.0,8.0,1832.0,0.38,2.0,2.0,1012.0,1.0
GUJARAT,29.0,7.6,991.5,0.34,2.0,2.0,553.0,0.35
GUJARAT,29.0,7.75,5149.0,0.74,2.0,2.0,3345.0,0.9
GUJARAT,27.0,7.95,752.0,0.35,2.0,2.0,428.0,0.25
GUJARAT,30.0,7.65,1770.0,0.3,2.0,2.0,855.0,0.6
GUJARAT,29.0,8.15,1523.0,0.3,2.0,2.0,770.0,0.75
GUJARAT,33.0,8.5,2704.0,0.4,2.0,2.0,1648.0,0.4
GUJARAT,29.0,7.2,6747.0,0.3,2.0,2.0,4276.0,0.4
GUJARAT,30.0,7.9,1370.0,0.3,2.0,2.0,868.0,0.95
GUJARAT,29.0,7.6,13950.0,0.45,2.0,2.0,8495.0,0.4
GUJARAT,29.5,7.95,1666.5,0.5,2.0,2.0,1014.0,0.2
GUJARAT,25.5,7.5,948.5,0.62,2.0,2.0,560.0,0.9
GUJARAT,25.5,7.6,1163.0,0.69,2.0,2.0,661.0,0.75
HARYANA,5.2,7.4,2570.0,2.95,3200.0,4215.0,1412.0,2.1
HARYANA,26.6,8.3,973.0,0.3,2.0,20.0,530.0,2.0
HARYANA,33.1,7.4,1590.0,1.5239999999999998,160.0,2100.0,748.0,0.32999999999999996
HARYANA,18.0,7.25,897.0,0.596,2.0,2.0,495.0,0.2
HARYANA,21.1,7.8,557.0,1.0,490.0,3500.0,349.0,0.3
HARYANA,23.7,8.15,965.0,3.768,3.2,3.6,580.0,0.6599999999999999
HARYANA,26.22,8.05,1445.0,1.668,2.0,9.1,868.0,0.5900000000000001
HARYANA,26.860000000000003,8.5,1156.0,0.3,2.0,30.0,328.0,0.7
HARYANA,28.04,8.3,1788.0,0.3,3.2,20.0,978.0,0.72
HARYANA,25.52,7.2,4510.0,0.3,12.7,33.2,2480.0,0.7
HARYANA,29.2,7.7,5740.0,0.3,2.1,3.4,3160.0,1.2
HARYANA,26.7,7.35,3665.0,0.3,2.4,5.1,2020.0,0.75
HARYANA,28.830000000000002,8.3,1160.0,0.3,2.0,10.0,630.0,0.7
