State Name,Temp,pH,Conductivity,Nitrate,Fecal_Coliform,Total_Coliform,TDS,Fluoride,WQI,WQI_Classification,WQI_Class_Encoded
BIHAR,28.5,7.085000000000001,697.5,5.22,2.0,6.15,537.0,0.63,56.68363277326272,Poor,3
BIHAR,23.0,7.05,1150.0,0.76,4.5,13.0,820.0,0.5700000000000001,51.5502364066194,Poor,3
BIHAR,28.0,7.39,633.0,2.577,26.96,356.7,450.0,1.48,25.99999999999998,Good,2
BIHAR,25.5,6.8100000000000005,313.5,4.53,33.0,67.25,162.0,0.48,43.77132263415822,Good,1
BIHAR,22.0,7.325,799.5,1.58,140.0,220.0,496.0,0.5,46.90329637577492,Good,1
BIHAR,25.0,7.365,822.5,1.795,350.0,540.0,550.0,0.6699999999999999,62.07222640753255,Poor,3
BIHAR,29.5,7.2,745.0,1.09,7.5,15.4,501.0,0.825,74.35420712466644,Poor,3
BIHAR,26.5,7.605,598.0,0.8230000000000001,13.0,33.0,408.0,0.91,40.33333333333336,Good,2
BIHAR,28.0,7.84,390.5,1.149,181.5,816.5,260.0,0.4499999999999999,55.99999999999999,Poor,2
BIHAR,23.0,7.0,1165.5,2.45,12.0,84.6,710.0,0.39,35.53955181667834,Good,1
BIHAR,23.0,6.949999999999999,761.5,3.877,17.0,31.0,577.0,0.25,3.3333333333333806,Excellent,2
BIHAR,28.0,7.609999999999999,913.0,3.535,6.57,6.8,647.0,0.8049999999999999,75.73517994297832,Very Poor,5
BIHAR,24.0,7.045,479.5,0.91,13.0,33.0,311.0,0.47,41.96205686441624,Good,1
BIHAR,25.0,7.41,763.5,2.3520000000000003,6.220000000000001,26.3,528.0,0.5770000000000001,27.333333333333343,Good,2
BIHAR,24.5,6.970000000000001,410.5,4.91,13.0,23.0,277.0,0.374,1.9999999999999574,Excellent,2
BIHAR,26.5,7.24,624.0,3.81,7.8,23.0,423.0,0.98,88.13552567497642,Very Poor,5
BIHAR,29.0,7.709999999999999,836.0,3.444,3.13,2.0,566.0,0.655,47.33333333333327,Good,2
BIHAR,29.0,7.27,1357.5,2.94,10.52,68.11,990.0,0.965,87.90336689191247,Very Poor,5
BIHAR,27.0,7.595000000000001,570.0,2.94,7.2,2.0,397.0,0.7849999999999999,73.44026649012267,Poor,3
BIHAR,27.0,7.0,1059.0,4.57,116.4,270.2,720.0,0.52,46.88283540823263,Good,1
BIHAR,24.5,7.055,810.5,2.37,39.33,772.8199999999999,519.0,0.8049999999999999,71.73976387240131,Poor,3
BIHAR,27.5,7.314999999999999,1122.5,0.645,148.5,199.5,765.0,0.445,42.39918919124585,Good,1
BIHAR,28.0,7.82,327.0,1.523,112.25,178.4,209.0,0.4189999999999999,54.666666666666686,Poor,2
BIHAR,23.5,7.65,858.0,2.34,128.5,283.5,586.0,0.435,43.574235229659394,Good,1
BIHAR,28.5,7.709999999999999,766.0,0.66,8.85,2.0,545.0,0.89,83.54009146805467,Very Poor,5
BIHAR,33.0,7.285,878.5,0.595,3.97,2.0,614.0,0.86,78.14022324191602,Very Poor,5
BIHAR,25.5,7.355,1053.0,1.775,79.0,240.0,713.0,0.6000000000000001,56.1709930092635,Poor,3
BIHAR,22.0,7.31,863.5,2.3,920.0,1600.0,563.0,0.515,48.226922072058365,Good,1
